City,District,Subdistrict
Shanghai,Jingan,Pengpu Town
Shanghai,Jinshan,Shihua
Shanghai,Jinshan,Caojing
Shanghai,Jinshan,Fengjing
Shanghai,Jinshan,Jinshanwei
Shanghai,Jinshan,Langxia
Shanghai,Jinshan,Lvxiang
Shanghai,Jinshan,Shanyang
Shanghai,Jinshan,Tinglin
Shanghai,Jinshan,Zhangyan
Shanghai,Jinshan,Zhujing
Shanghai,Jinshan,Jinshan Industry Zone
Shanghai,Minhang,Gumei Road
Shanghai,Minhang,Jiangchuan Road
Shanghai,Minhang,Pujing
Shanghai,Minhang,Xinhong
Shanghai,Minhang,Hongqiao
Shanghai,Minhang,Huacao
Shanghai,Minhang,Maqiao
Shanghai,Minhang,Meilong
Shanghai,Minhang,Qibao
Shanghai,Minhang,Pujiang
Shanghai,Minhang,Wukong
Shanghai,Minhang,Xinzhuang
Shanghai,Minhang,Zhuanqiao
Shanghai,Minhang,Xinzhuang Industrial Zone
Shanghai,Pudong,Dongming Road
Shanghai,Pudong,Huamu
Shanghai,Pudong,Hudong 
Shanghai,Pudong,Jinyang
Shanghai,Pudong,Lujiazui
Shanghai,Pudong,Nanmatou
Shanghai,Pudong,Puxing Road
Shanghai,Pudong,Shanggang 
Shanghai,Pudong,Tangqiao
Shanghai,Pudong,Weifang
Shanghai,Pudong,Yangjing
Shanghai,Pudong,Zhoujiadu
Shanghai,Pudong,Beicai
Shanghai,Pudong,Caolu
Shanghai,Pudong,Chuansha
Shanghai,Pudong,Datuan
Shanghai,Pudong,Gaohang
Shanghai,Pudong,Gaoqiao
Shanghai,Pudong,Hangtou
Shanghai,Pudong,Heqing
Shanghai,Pudong,Huinan
Shanghai,Pudong,Jinqiao
Shanghai,Pudong,Kangqiao
Shanghai,Pudong,Laogang
Shanghai,Pudong,Nanhuixincheng
Shanghai,Pudong,Nicheng
Shanghai,Pudong,Sanlin
Shanghai,Pudong,Shuyuan
Shanghai,Pudong,Tang
Shanghai,Pudong,Wanxiang
Shanghai,Pudong,Xinchang
Shanghai,Pudong,Xuanqiao
Shanghai,Pudong,Zhangjiang
Shanghai,Pudong,Zhoupu
Shanghai,Pudong,Zhuqiao
Shanghai,Pudong,Chaoyang Farm
Shanghai,Pudong,Donghai Farm
Shanghai,Pudong,Jinqiao Export Processing Zone
Shanghai,Pudong,Luchaogang Farm
Shanghai,Pudong,Waigaoqiao Free-Trade zone
Shanghai,Pudong,Zhangjiang Hi-Tech Park
Shanghai,Putuo,Caoyang 
Shanghai,Putuo,Changfeng
Shanghai,Putuo,Changshou Road
Shanghai,Putuo,Ganquan Road
Shanghai,Putuo,Shiquan Road
Shanghai,Putuo,Wanli
Shanghai,Putuo,Yichuan Road
Shanghai,Putuo,Zhenruzhen
Shanghai,Putuo,Changzheng
Shanghai,Putuo,Taopu
Shanghai,Qingpu,Xianghuaqiao
Shanghai,Qingpu,Xiayang
Shanghai,Qingpu,Yingpu
Shanghai,Qingpu,Baihe
Shanghai,Qingpu,Chonggu
Shanghai,Qingpu,Huaxin
Shanghai,Qingpu,Jinze
Shanghai,Qingpu,Liantang
Shanghai,Qingpu,Xujing
Shanghai,Qingpu,Zhaoxiang
Shanghai,Qingpu,Zhujiajiao
Shanghai,Songjiang,Fangsong
Shanghai,Songjiang,Guangfulin
Shanghai,Songjiang,Jiuliting
Shanghai,Songjiang,Yongfeng
Shanghai,Songjiang,Yueyang
Shanghai,Songjiang,Zhongshan
Shanghai,Songjiang,Chedun
Shanghai,Songjiang,Dongjing
Shanghai,Songjiang,Jiuting
Shanghai,Songjiang,Maogang
Shanghai,Songjiang,Sheshan
Shanghai,Songjiang,Shihudang
Shanghai,Songjiang,Sijing
Shanghai,Songjiang,Xiaokunshan
Shanghai,Songjiang,Xinbang
Shanghai,Songjiang,Xinqiao
Shanghai,Songjiang,Yexie
Shanghai,Songjiang,Sheshan Resort
Shanghai,Songjiang,Shanghai Songjiang Export Processing Zone
Shanghai,Songjiang,Songjiang Industrial Zone
Shanghai,Xuhui,Caohejing
Shanghai,Xuhui,Changqiao
Shanghai,Xuhui,Fenglin Road
Shanghai,Xuhui,Hongmei Road
Shanghai,Xuhui,Hunan Road
Shanghai,Xuhui,Kangjian 
Shanghai,Xuhui,Lingyun Road
Shanghai,Xuhui,Longhua
Shanghai,Xuhui,Tianlin
Shanghai,Xuhui,Tianping Road
Shanghai,Xuhui,Xietu Road
Shanghai,Xuhui,Xujiahui 
Shanghai,Xuhui,Huajing
Shanghai,Xuhui,Caohejing Hi-Tech Park
Shanghai,Yangpu,Changbai
Shanghai,Yangpu,Daqiao
Shanghai,Yangpu,Dinghai Road
Shanghai,Yangpu,Jiangpu Road
Shanghai,Yangpu,Kongjiang
Shanghai,Yangpu,Pingliang Road
Shanghai,Yangpu,Siping Road
Shanghai,Yangpu,Wujiaochang
Shanghai,Yangpu,Xinjiangwancheng
Shanghai,Yangpu,Yanji
Shanghai,Yangpu,Yinhang
Shanghai,Chongming,Bu
Shanghai,Chongming,Changxing
Shanghai,Chongming,Chengqiao
Shanghai,Chongming,Chenjia
Shanghai,Chongming,Dongping
Shanghai,Chongming,Gangxi
Shanghai,Chongming,Gangyan
Shanghai,Chongming,Jianshe
Shanghai,Chongming,Lvhua
Shanghai,Chongming,Sanxing
Shanghai,Chongming,Shuxin
Shanghai,Chongming,Xianghua
Shanghai,Chongming,Xinhai
Shanghai,Chongming,Xinhe
Shanghai,Chongming,Zhongxing
Shanghai,Chongming,Hengsha
Shanghai,Chongming,Xincun
Shanghai,Chongming,Dongping
Shanghai,Chongming,Qianwei Farm
Shanghai,Chongming,Shangshi Contemporary Agricultural Park
